name,Address,Eircode,,,lat,lon,other
Causeway,Marian Trc. Causeway Co. Kerry,,82111.52,130238.48,52.41139,-9.7332,
Farranfore,Farranfore Co. Kerry,,93992.133,103305.148,52.17187,-9.55021,
Glenbeigh,Kilnabrack Lower Glenbeigh Co. Kerry,,66658.203,90959.367,52.05506,-9.94468,
Gneeveguilla,Gneeveguilla Co. Kerry,,112920.617,96703.055,52.11586,-9.27193,
Kielduff,Community Centre Rathanny Co. Kerry,,90498.16,117134.99,52.29542,-9.60574,
Kilgarven,Kilgarven Co. Kerry,,100787.484,73306.648,51.90362,-9.44222,
Park Road,Park Rd. Killarney Co. Kerry,,98147.097,90844.208,52.0607,-9.48577,
Knocknagoshel,Community Centre Knocknagoshel Co. Kerry,,105640.797,120739.68,52.33061,-9.38487,
Listowel,Grounds of Listowel Hospital Co. Kerry,,98225.711,133981.422,52.44824,-9.49762,
Listowel OPD,Hospital Grounds Listowel Co. Kerry,,98225.711,133981.422,52.44824,-9.49762,
Lixnaw,C/o Dr. Fahys Surgery Lixnaw Co. Kerry,,89980.352,129784.844,52.40895,-9.61746,
Moyvane,Community Centre Moyvane Co. Kerry,,107069.992,139733.188,52.50149,-9.36919,
Portmagee,Portmagee Village Co. Kerry,,37201.05,72985.68,51.8858,-10.36526,
Rathmore,Bleak House Rathmore Co. Kerry,,114335.305,92302.93,52.07655,-9.25018,
Scariff,Emlagh Waterville Co. Kerry,,50416.29,68895.28,51.85277,-10.1717,
Sneem,South Square Sneem Co. Kerry,,69125.172,66719.781,51.83792,-9.89952,
Tarbert,Tarbert Co. Kerry,,106410.367,147820.453,52.57403,-9.38117,
Waterville,Main Street Waterville Co. Kerry,,50326.641,65801.617,51.82496,-10.17166,
Churchtown,Main Street Mallow Co. Cork,,150106.953,113520.32,52.27158,-8.73162,
St. Frances,Rathealy Road Fermoy Co. Cork,,181554.203,98864.148,52.14183,-8.27015,
Liscarroll,Main Street Co. Cork,,144992.245,112285.378,52.26,-8.80633,
Meelin,Knockduff Upper Newmarket Co. Cork,,129451.492,111284.461,52.24923,-9.03369,
Milford,Co. Cork,,141662.629,121345.173,52.34106,-8.85666,
Rathcormac,Main Street Co. Cork,,180608.234,91724.914,52.07764,-8.28356,
Caherdaniel,An Post Post Office Co. Kerry,,55032.02,59504.215,51.76964,-10.10083,
Bantry,The Quays Bantry Co. Cork,,99683.267,48449.644,51.6801,-9.45108,
Innishannon,Innishannon Medical Centre Main Street Innishannon Co. Cork,,154738.67,57068.34,51.76468,-8.65631,
Tallow,Conna Co. Cork,,192687.64,93439.56,52.09334,-8.10742,
Castletownbere,Bank Place Castletownbere Co. Cork,,67638.23,45866.9,51.65026,-9.91315,
Heatherside,Heatherside Hospital Doneraile Co. Cork,,159221.92,113269.77,52.27008,-8.59807,
St. Anne's Road,St. Anne's Road Killarney Co. Kerry,,96623.461,91103.313,52.06275,-9.50806,
Milford,Kyle House Kyle Co. Cork,,141334.875,119572.477,52.3251,-8.86116,
Castlelyons,1 Main Street Co. Cork,,183915.375,93021.828,52.0894,-8.23539,
Boherbue,The Corner House 18 Main Street Co. Cork,,126846.148,101279.68,52.159,-9.06967,
College Road,Castleisland Co. Kerry,,100474.454,110121.412,52.23431,-9.4575,
Mizen Primary Care Centre,Ardmanagh Road Schull Co. Cork,,92566.172,31667.68,51.528,-9.54879,
Ionad SlÃ¡inte Daingean UÃ­ ChÃºis,Hospital Grounds Dingle Co. Kerry,,44317.164,101592.344,52.14472,-10.27499,
Grosvenor Court,Killarney Co. Kerry,,96513.056,90957.578,52.06142,-9.50962,
Bandon,GULLY CO. CORK,,148192.8485,54036.49368,51.73687,-8.75066,
Churchfield,103/105 Knockfree Avenue Fair Hill Churchfield Cork,,166277.4534,72843.91877,51.90727,-8.49072,
Kinsale,HSE HEALTH CENTRE MARKET LANE CO. CORK,,163737.18,50488.53826,51.7062,-8.52529,
Mallow,12/14 Fair Street Lower Mallow Co. Cork,,155959.6234,98527.66179,52.13736,-8.64394,
Mallow,20 West End Mallow Co. Cork,,155656.2124,98583.3668,52.13783,-8.64838,
Mallow,31/32 Fair Street Upper Mallow Co. Cork,,155983.2504,98641.2498,52.13838,-8.64361,
Mallow,9 West End Mallow Co. Cork,,155628.6984,98587.4198,52.13787,-8.64878,
Doneraile,Main Street Doneraile Co. Cork,,160081.7814,107336.6878,52.21683,-8.58477,
Mount Alvernia,Mount Alvernia Hospital Mallow Co. Cork,,153160.1724,97105.9218,52.12435,-8.68462,
Mallow,O'Brien Street Mallow Co. Cork,,156057.0294,98443.1208,52.13661,-8.6425,
Douglas ,Community Centre Douglas Cork,,169961.5013,69051.1693,51.8734,-8.43686,
Mallow,Solas Nua Residential Home Mallow Co. Cork,,156147.5164,99382.1168,52.14505,-8.6413,
Castlegregory,Dr. Sills Surgery Castlegregory Co. Kerry,,62010.68032,113525.2698,52.25659,-10.02156,
Youghal Health Centre,Unit 4a Millennium Court Foxhole Youghal Co. Cork,,209404.5006,79875.51457,51.97141,-7.86388,
Killorglin,HSE Health Centre 2 Mill Road Co. Kerry,,77563.073,96602.256,52.10826,-9.78782,
Owenacurra Mental Health,HSE Owenacurra Centre The Green Midleton Co. Cork,,188038.016,73874.195,51.91742,-8.17458,
Midleton ,Health Centre HSE Midleton Community Hospital Midleton Co. Cork,,188160.3289,73911.05454,51.91776,-8.1728,
